Pair: CRC and EQNR, Profit: 9421.393089484984
Pair: APAM and URI, Profit: 2709.9099426723296
Pair: EWBC and MSM, Profit: 2701.1122193061074
Pair: MSM and TEX, Profit: 2677.7953214483837
Pair: MBUU and MCFT, Profit: 2670.2021198925877
Pair: BHB and FFIC, Profit: 2650.431319393886
Pair: MU and POWI, Profit: 2624.688872552237
Pair: IEX and V, Profit: 2618.2037251463044
Pair: BHF and CII, Profit: 2611.5127085773765
Pair: COP and MUR, Profit: 2602.3559565428272
Pair: GATX and LSTR, Profit: 2579.000641594672
Pair: LVS and WCC, Profit: 2575.756086131258
Pair: KLIC and VSH, Profit: 2569.741504234048
Pair: BHF and WAL, Profit: 2569.180061435803
Pair: FIBK and LSTR, Profit: 2567.130413873277
Pair: ATH and BANF, Profit: 2559.9940397847854
Pair: BMRC and FISI, Profit: 2553.165441120259
Pair: BHF and UBSI, Profit: 2546.853265907031
Pair: CBT and TEX, Profit: 2545.0769307711043
Pair: ATI and BWA, Profit: 2526.1044244662926
Pair: LOGI and STM, Profit: 2523.7939663520883
Pair: BMRC and IBCP, Profit: 2521.4105693401552
Pair: EVR and UNM, Profit: 2514.6084980988317
Pair: BHF and HBAN, Profit: 2511.289329970179
Pair: BHF and EMR, Profit: 2510.3199870326334
Pair: EMR and IPGP, Profit: 2508.9804788093297
Pair: MCHP and MGA, Profit: 2501.520589368136
Pair: BHF and ZION, Profit: 2499.0547764006064
Pair: CDE and EXK, Profit: 2481.914751954857
Pair: CRC and PEO, Profit: 2455.0795209432463
Pair: AXL and DAN, Profit: 2452.0185933651424
Pair: ACLS and MU, Profit: 2449.698013825626
Pair: HRI and NDSN, Profit: 2442.653600493752
Pair: CADE and TCBI, Profit: 2440.4142044445375
Pair: BTG and HMY, Profit: 2435.005691271492
Pair: LFUS and ON, Profit: 2413.6822379835476
Pair: GATX and SEIC, Profit: 2411.6407331376868
Pair: NXPI and URI, Profit: 2409.567296984922
Pair: FBNC and GATX, Profit: 2408.891767169833
Pair: GATX and SRCE, Profit: 2378.6620574569215
Pair: AAPL and ANSS, Profit: 2377.777009509163
Pair: ARW and NPO, Profit: 2376.4857829059597
Pair: PTEN and TS, Profit: 2372.605640072645
Pair: CBSH and EFSC, Profit: 2363.977140388121
Pair: BHF and SF, Profit: 2361.596035280814
Pair: BHF and CBSH, Profit: 2351.6344797392103
Pair: UEC and URG, Profit: 2342.8459765874177
Pair: FISI and NRIM, Profit: 2334.527253066457
Pair: AMAT and ICHR, Profit: 2330.6065518206556
Pair: IPGP and SMTC, Profit: 2329.635571991301
Pair: FHB and MOFG, Profit: 2326.758899608025
Pair: GBX and URI, Profit: 2310.8802987804183
Pair: FIBK and GATX, Profit: 2306.350008615384
Pair: BMRC and FFWM, Profit: 2298.736241553527
Pair: CNOB and CPF, Profit: 2298.045535368827
Pair: HUN and RVT, Profit: 2294.2326106905102
Pair: TROW and TXT, Profit: 2293.4579908385845
Pair: RMT and URI, Profit: 2286.0984055101067
Pair: MDB and NOW, Profit: 2278.3811049960595
Pair: FUL and LECO, Profit: 2276.5887936891163
Pair: EMN and TEX, Profit: 2275.0579176202255
Pair: PEGA and VEEV, Profit: 2274.5954461293086
Pair: BHF and SNV, Profit: 2247.3940497495405
Pair: ATI and EMN, Profit: 2246.0964962977064
Pair: KMT and UNM, Profit: 2236.940693651246
Pair: LECO and ON, Profit: 2229.488864927233
Pair: EPAM and PCTY, Profit: 2217.1297337802753
Pair: CADE and WTFC, Profit: 2209.0633962918555
Pair: MTW and TCBI, Profit: 2200.744300262345
Pair: LSTR and UBSI, Profit: 2187.8128041457276
Pair: BC and LECO, Profit: 2185.1045958259874
Pair: APTV and ARW, Profit: 2182.9930267039385
Pair: APLE and INN, Profit: 2182.404433506736
Pair: BANC and QCRH, Profit: 2170.980793552265
Pair: EOG and HP, Profit: 2168.5338199106604
Pair: CPRI and PVH, Profit: 2152.1722254181386
Pair: DVN and XOM, Profit: 2150.329477407265
Pair: LFUS and PRI, Profit: 2146.35612034035
Pair: BHF and FITB, Profit: 2145.839788018548
Pair: EPAM and MCO, Profit: 2144.7422847511507
Pair: DCI and LSTR, Profit: 2121.3405388579636
Pair: BANR and MOFG, Profit: 2120.8380577191656
Pair: HMY and SA, Profit: 2108.3994582048344
Pair: CR and IPGP, Profit: 2104.3652047014725
Pair: CSQ and LGI, Profit: 2104.362340224456
Pair: DFS and MCO, Profit: 2101.2468734302433
Pair: GDS and JD, Profit: 2098.924842413548
Pair: CEPU and IRS, Profit: 2097.7135629263657
Pair: KLIC and STM, Profit: 2091.2763361658263
Pair: MUR and SU, Profit: 2084.7879145820957
Pair: AL and CBT, Profit: 2080.9198596981905
Pair: CRC and MRC, Profit: 2073.548887432767
Pair: CTBI and GATX, Profit: 2049.1569465240073
Pair: CNO and GABC, Profit: 2047.9692065717966
Pair: AA and WCC, Profit: 2047.1284624130963
Pair: EQNR and MTDR, Profit: 2033.955770088159
Pair: CAT and VOYA, Profit: 2033.9005675998253
Pair: AX and FIBK, Profit: 2023.2036311629624
Pair: GDV and URI, Profit: 2020.9966655648202
Pair: CBT and MTW, Profit: 2011.9733738508492
Pair: IRS and LOMA, Profit: 1999.7080323150515
Pair: ADBE and PCTY, Profit: 1997.524558533992
Pair: AEIS and MCHP, Profit: 1992.050512744813
Pair: AEM and CDE, Profit: 1986.9528453036123
Pair: CVBF and HTBK, Profit: 1984.791743946414
Pair: RMBS and STM, Profit: 1981.4760477708498
Pair: R and SF, Profit: 1977.1741928480287
Pair: IEX and TROW, Profit: 1975.2823955252186
Pair: HTHT and WB, Profit: 1972.6387633824197
Pair: MDB and PAYC, Profit: 1958.8580383579915
Pair: BYD and LVS, Profit: 1956.5913312886437
Pair: CAT and NPO, Profit: 1955.0954858934415
Pair: AX and UBSI, Profit: 1950.3585480019744
Pair: BANF and EFSC, Profit: 1940.48221687454
Pair: DE and TEX, Profit: 1938.5827443051016
Pair: IPGP and NDSN, Profit: 1936.4353949225151
Pair: SA and SSRM, Profit: 1932.7142468204431
Pair: AROC and FTI, Profit: 1929.0969937782334
Pair: KRO and TROX, Profit: 1915.2938951505785
Pair: FHB and LSTR, Profit: 1914.919984385911
Pair: FTV and PRU, Profit: 1913.043684582447
Pair: CMP and HUBB, Profit: 1910.9372177575463
Pair: ANSS and ASML, Profit: 1903.9345480388486
Pair: APA and NOG, Profit: 1901.6753783737618
Pair: BMRC and PGC, Profit: 1896.3643420489325
Pair: HES and XOM, Profit: 1895.4789912668416
Pair: AME and AYI, Profit: 1890.9165077521884
Pair: KMT and LKFN, Profit: 1877.2078202851023
Pair: NVMI and STM, Profit: 1875.345022270868
Pair: BHF and EQH, Profit: 1870.7952793829495
Pair: HEES and LECO, Profit: 1868.657869438052
Pair: CUBI and PPBI, Profit: 1855.0796445183967
Pair: CNO and SCHW, Profit: 1854.7718188777494
Pair: CBT and RMT, Profit: 1852.6164081330667
Pair: CAT and KMT, Profit: 1850.444038396426
Pair: HAL and LBRT, Profit: 1843.2991219882294
Pair: KMT and LYB, Profit: 1824.0665286275857
Pair: PCTY and TEAM, Profit: 1824.0546290542302
Pair: ISRG and TMO, Profit: 1822.067230806751
Pair: BP and DVN, Profit: 1820.6498565298696
Pair: KNX and WERN, Profit: 1811.8138625970366
Pair: HUN and SNDR, Profit: 1809.6342505534515
Pair: CMCO and ST, Profit: 1805.27524737972
Pair: RVT and URI, Profit: 1803.3439941923743
Pair: AVGO and ON, Profit: 1800.1634354854461
Pair: BHF and IBOC, Profit: 1799.8375782870496
Pair: LFUS and WOR, Profit: 1796.996230642446
Pair: AXL and BWA, Profit: 1793.0253715861609
Pair: CLF and X, Profit: 1790.6810405204246
Pair: MAN and PRU, Profit: 1776.8248018276481
Pair: BHF and USB, Profit: 1776.3173093875594
Pair: LSTR and SBCF, Profit: 1774.1969193208706
Pair: AOD and BHF, Profit: 1774.0257032619907
Pair: FNV and WPM, Profit: 1766.2441783962709
Pair: ASB and CBT, Profit: 1759.5293117957924
Pair: POWI and SLAB, Profit: 1757.3771752392493
Pair: HRI and TXT, Profit: 1738.622372029031
Pair: EMN and ON, Profit: 1732.4132053116955
Pair: LECO and LSTR, Profit: 1730.1871384714718
Pair: GBX and TSE, Profit: 1719.9094976338129
Pair: EMN and RHI, Profit: 1716.948627982617
Pair: DCI and FIBK, Profit: 1714.2341742243236
Pair: BHF and RF, Profit: 1705.0778485305927
Pair: EFSC and SRCE, Profit: 1689.2439783257846
Pair: MKSI and QRVO, Profit: 1686.16327995142
Pair: BY and TCBI, Profit: 1679.9707790521818
Pair: AME and URI, Profit: 1678.5679707339011
Pair: AROC and PEO, Profit: 1676.424449935695
Pair: APH and TMO, Profit: 1673.0619371555597
Pair: FUL and R, Profit: 1672.09319914065
Pair: AGD and URI, Profit: 1667.0124964970764
Pair: FITB and URI, Profit: 1666.9054788015385
Pair: RBB and RNST, Profit: 1653.005911318535
Pair: MU and TXN, Profit: 1641.1061077064392
Pair: BANR and THFF, Profit: 1620.3956532958096
Pair: AIT and WOR, Profit: 1617.1200382283664
Pair: CCS and TOL, Profit: 1607.6860523329547
Pair: ETN and PPG, Profit: 1606.8237847814885
Pair: LFUS and TKR, Profit: 1605.3392902227567
Pair: AOD and URI, Profit: 1601.26202893675
Pair: HUBB and NXPI, Profit: 1594.3651870341014
Pair: CRC and MGY, Profit: 1587.9827382301587
Pair: SNV and URI, Profit: 1584.3832118790542
Pair: HRI and LNC, Profit: 1581.8205203652828
Pair: HES and SU, Profit: 1580.8947390647247
Pair: NPO and ROK, Profit: 1573.5759903466828
Pair: SQ and TWLO, Profit: 1573.485064600499
Pair: CTBI and WFC, Profit: 1571.5955194665662
Pair: AG and SVM, Profit: 1564.062541127389
Pair: AU and SSRM, Profit: 1561.0597021927335
Pair: LKFN and NTB, Profit: 1547.2311408303542
Pair: STX and VSH, Profit: 1541.3702550048292
Pair: TCBI and VBTX, Profit: 1538.9215671885
Pair: PFG and URI, Profit: 1531.1333024949517
Pair: KFY and MTX, Profit: 1528.947204261675
Pair: ASB and SCHW, Profit: 1527.4651240985113
Pair: FNB and SCHW, Profit: 1526.6072893930625
Pair: BTE and WTI, Profit: 1522.558895666145
Pair: ITT and SNA, Profit: 1521.2153630779387
Pair: ASA and EXK, Profit: 1518.231025977091
Pair: INTC and MU, Profit: 1517.589128727414
Pair: HUBS and WIX, Profit: 1516.4419249783305
Pair: NUE and RHI, Profit: 1510.2279183500814
Pair: ANSS and ISRG, Profit: 1501.8046485734328
Pair: SRCE and TBBK, Profit: 1499.4097128027888
Pair: CII and URI, Profit: 1494.8446712335385
Pair: SNA and URI, Profit: 1479.622394680653
Pair: MSM and UNM, Profit: 1478.1396760757666
Pair: NOG and PTEN, Profit: 1475.4523066491718
Pair: ENTG and TXN, Profit: 1471.4205210124014
Pair: NXPI and QRVO, Profit: 1470.5600472682884
Pair: SLAB and TROW, Profit: 1461.2417041614904
Pair: OEC and TSE, Profit: 1445.5293550780616
Pair: DVN and TS, Profit: 1433.5894886015376
Pair: LRCX and STM, Profit: 1433.0146143924478
Pair: SLAB and TER, Profit: 1431.4897767132884
Pair: AZPN and QTWO, Profit: 1428.1135867740365
Pair: LSTR and RVT, Profit: 1427.7572744592694
Pair: EMR and LFUS, Profit: 1415.2374307410573
Pair: LECO and SBCF, Profit: 1412.7684266979236
Pair: BHF and UNM, Profit: 1410.9710697061598
Pair: CE and NPO, Profit: 1398.9839338304644
Pair: LCII and PII, Profit: 1395.760785971538
Pair: GBCI and RBB, Profit: 1387.697753265501
Pair: MU and STX, Profit: 1387.037412384068
Pair: EVR and URI, Profit: 1385.7354892794265
Pair: SWK and WOR, Profit: 1385.5831269567434
Pair: BHF and WTFC, Profit: 1379.4242154094377
Pair: AGI and MAG, Profit: 1379.0650080257162
Pair: FUL and PNR, Profit: 1378.9930263145243
Pair: AX and INDB, Profit: 1378.8507225800486
Pair: EWBC and NUE, Profit: 1368.938729418212
Pair: MSM and MTX, Profit: 1368.5747793147332
Pair: CRC and DVN, Profit: 1368.3985733664908
Pair: FELE and LECO, Profit: 1366.163199601312
Pair: ENTG and MCHP, Profit: 1365.009951756297
Pair: AMG and RVT, Profit: 1357.9470138033764
Pair: BABA and MKSI, Profit: 1348.4533170140564
Pair: FICO and PAYC, Profit: 1347.2408262502327
Pair: HMY and KGC, Profit: 1344.8085241490676
Pair: SHOP and TEAM, Profit: 1339.9839260595963
Pair: CNOB and PPBI, Profit: 1335.137993324487
Pair: AMG and KMT, Profit: 1333.129007916194
Pair: BY and FMBH, Profit: 1329.5508917529
Pair: EMN and MRC, Profit: 1315.9571940361789
Pair: RF and URI, Profit: 1315.5182067257795
Pair: GLW and TRMB, Profit: 1315.3677855288802
Pair: BHF and SLF, Profit: 1309.9666856085173
Pair: SLAB and TEL, Profit: 1309.6655290385074
Pair: CPF and TRMK, Profit: 1307.9797393309402
Pair: ASB and MSM, Profit: 1306.6850641030692
Pair: FRME and THFF, Profit: 1301.638860965876
Pair: SF and URI, Profit: 1297.4576871673912
Pair: LFUS and RBC, Profit: 1293.4488138660506
Pair: CAT and UNM, Profit: 1290.7689668668513
Pair: CMI and PII, Profit: 1278.8563559519469
Pair: SF and SWK, Profit: 1271.323777284767
Pair: AEIS and RVT, Profit: 1271.069116257989
Pair: MA and VEEV, Profit: 1260.8992026627373
Pair: NPO and SF, Profit: 1260.0602607677847
Pair: RHI and SBCF, Profit: 1257.6566466620925
Pair: CII and CSTM, Profit: 1245.8420534764425
Pair: EMN and IP, Profit: 1243.2033624085889
Pair: SB and SBLK, Profit: 1240.9897221214355
Pair: EQNR and HES, Profit: 1240.6867221064863
Pair: LAZ and MS, Profit: 1239.7557258041734
Pair: BTE and NOG, Profit: 1230.8624436597975
Pair: MHO and MTH, Profit: 1230.0434850731917
Pair: ITT and PPG, Profit: 1226.3649571156948
Pair: CMA and URI, Profit: 1223.1234072297743
Pair: AMAT and UCTT, Profit: 1216.3858297212905
Pair: PPBI and RVT, Profit: 1210.6119940831454
Pair: EMN and SMTC, Profit: 1204.7799503602894
Pair: AEIS and ON, Profit: 1191.9815053577217
Pair: MAN and MTW, Profit: 1170.1397076973215
Pair: BSRR and WSFS, Profit: 1167.743569290751
Pair: SWK and TKR, Profit: 1166.7196702473484
Pair: KEY and URI, Profit: 1155.6204880859082
Pair: FWRD and LSTR, Profit: 1149.9563291333736
Pair: RBC and URI, Profit: 1148.9537265839272
Pair: CE and CRS, Profit: 1147.180023596532
Pair: GATX and WAB, Profit: 1141.360071743472
Pair: CAT and FTV, Profit: 1138.3266474717766
Pair: CRC and CVE, Profit: 1134.3610880815056
Pair: FBNC and WSFS, Profit: 1130.1162196105593
Pair: AMP and MAN, Profit: 1129.9401342045014
Pair: NUE and TEX, Profit: 1122.8676115582864
Pair: TCBI and WASH, Profit: 1119.48435601603
Pair: HWC and URI, Profit: 1115.0062259800084
Pair: CNO and URI, Profit: 1108.2757447405866
Pair: BTE and SM, Profit: 1097.2019607135455
Pair: LFUS and PH, Profit: 1096.9156861653244
Pair: AEIS and FUND, Profit: 1085.5133868651533
Pair: R and RVT, Profit: 1084.2945711719358
Pair: AX and RJF, Profit: 1077.5210567692993
Pair: AX and EWBC, Profit: 1071.5959561255927
Pair: ADBE and SPGI, Profit: 1041.5645990323305
Pair: LSTR and WOR, Profit: 1040.3107304647729
Pair: FCX and SCCO, Profit: 1039.7225813460052
Pair: GDS and MA, Profit: 1039.088413511827
Pair: LECO and POWI, Profit: 1025.100677838434
Pair: MTX and SF, Profit: 1022.5926273559048
Pair: RBB and SRCE, Profit: 1016.7738173314336
Pair: CNO and PPBI, Profit: 1014.3463588978848
Pair: ASB and BHF, Profit: 1011.3318821073635
Pair: FFWM and PPBI, Profit: 1005.6880304012293
Pair: TRMK and WABC, Profit: 1003.9503076868452
Pair: BANF and NBHC, Profit: 999.8589469965748
Pair: CNC and MOH, Profit: 999.4587718368609
Pair: FLS and LNC, Profit: 998.9917751937172
Pair: AMG and UNM, Profit: 996.5456978162129
Pair: EQNR and PTEN, Profit: 991.1164164405554
Pair: LAZ and RF, Profit: 986.5713406593568
Pair: ARW and LFUS, Profit: 985.0049707651674
Pair: GATX and MTX, Profit: 972.8388056159398
Pair: COHR and TER, Profit: 972.4860108917484
Pair: AEIS and SMTC, Profit: 971.9436288661269
Pair: URI and WAL, Profit: 968.9907653619485
Pair: HNI and IBCP, Profit: 967.067758706954
Pair: MS and SWK, Profit: 965.8732710427727
Pair: FRME and WFC, Profit: 957.2970738164024
Pair: NXPI and PH, Profit: 951.6505529428171
Pair: ALSN and MTX, Profit: 948.4046538757542
Pair: CSTM and URI, Profit: 948.3537455932565
Pair: CBSH and GATX, Profit: 931.8874187639304
Pair: COP and HAL, Profit: 931.372980768878
Pair: CAT and RBC, Profit: 927.2537121155618
Pair: ON and ST, Profit: 923.5883453924722
Pair: MCHP and MU, Profit: 919.0574947817593
Pair: CBT and ST, Profit: 916.4682817432058
Pair: PH and PII, Profit: 903.5332968153109
Pair: HUBG and MRTN, Profit: 901.3069945460493
Pair: MKSI and NXPI, Profit: 896.6097580724628
Pair: PRU and SWK, Profit: 895.8509573563765
Pair: URI and VOYA, Profit: 893.6748652317725
Pair: TEAM and TWLO, Profit: 893.1849466856572
Pair: LECO and VSH, Profit: 891.4700428699907
Pair: INTC and MCHP, Profit: 888.4596873133185
Pair: HEES and LFUS, Profit: 887.298349590176
Pair: KMT and LFUS, Profit: 885.4758082057435
Pair: PPBI and RMT, Profit: 883.4362962796957
Pair: LVS and NVMI, Profit: 878.4810128215977
Pair: ACGL and HIG, Profit: 872.1967651965012
Pair: AMAT and POWI, Profit: 871.201286614489
Pair: TEAM and WDAY, Profit: 870.9902827792585
Pair: CFG and EMN, Profit: 864.8683459970472
Pair: HALO and HQL, Profit: 858.2741497767933
Pair: AGCO and SWK, Profit: 855.1363372136058
Pair: AVT and RJF, Profit: 850.5661862621566
Pair: CCS and PHM, Profit: 849.0481940136444
Pair: HRI and RBC, Profit: 847.080365210318
Pair: CAT and SF, Profit: 838.1329671072763
Pair: IDXX and MA, Profit: 833.901951285694
Pair: AEIS and RMBS, Profit: 830.5623540368406
Pair: BKU and BY, Profit: 823.8571187813908
Pair: MRVL and TEL, Profit: 820.1210931499465
Pair: CBT and CMC, Profit: 816.2045235046555
Pair: CAT and OSK, Profit: 816.1195538943956
Pair: CE and NXPI, Profit: 801.0171201438641
Pair: DHT and FRO, Profit: 793.8954472913168
Pair: EQH and TROW, Profit: 791.5472411751898
Pair: CENX and NUE, Profit: 789.134735134703
Pair: AOS and CGNX, Profit: 785.8574756314251
Pair: ASML and QRVO, Profit: 781.318659033608
Pair: BMO and LNC, Profit: 775.2436508446337
Pair: B and TILE, Profit: 774.2887568050853
Pair: HRI and IBOC, Profit: 772.6921237418503
Pair: BGR and NOG, Profit: 769.006233530244
Pair: PPBI and RBB, Profit: 766.8327006329864
Pair: MGM and RMT, Profit: 763.18376705081
Pair: AX and PB, Profit: 761.8230057782523
Pair: EMN and RBC, Profit: 758.2278390594446
Pair: FANG and HP, Profit: 750.5634847924854
Pair: KFY and RMT, Profit: 743.3530078245432
Pair: AVT and WOR, Profit: 740.1328211750786
Pair: NOG and RIG, Profit: 738.1511125799516
Pair: GDV and PFG, Profit: 734.4675207961448
Pair: RJF and SWK, Profit: 731.4807664270929
Pair: CCNE and UBSI, Profit: 722.1308127846464
Pair: LFUS and SMTC, Profit: 720.6073387302972
Pair: IPGP and SWKS, Profit: 705.1014637798829
Pair: ARW and JBL, Profit: 694.3706971860173
Pair: AGCO and MTW, Profit: 694.3009963600352
Pair: HES and TALO, Profit: 692.9799640121681
Pair: AX and TRMK, Profit: 689.3308913703792
Pair: FBNC and RBB, Profit: 687.882758849878
Pair: FI and SLB, Profit: 684.2183440334013
Pair: FHB and WSFS, Profit: 683.0372822921229
Pair: BST and ETO, Profit: 682.5519725053034
Pair: NIE and ROST, Profit: 673.965691278663
Pair: HUN and RMT, Profit: 669.6668319525462
Pair: MRC and RVT, Profit: 664.0758048594835
Pair: PII and SWK, Profit: 662.1062514094638
Pair: PRLB and RMT, Profit: 660.3743589588069
Pair: MSM and STLD, Profit: 654.9075354637981
Pair: CHN and GDS, Profit: 651.7579603193536
Pair: CNQ and MGY, Profit: 643.9928918683645
Pair: EMN and JEF, Profit: 630.769049307337
Pair: CBSH and CCNE, Profit: 629.3582317236371
Pair: HAL and MRC, Profit: 618.2782219724239
Pair: AME and NXPI, Profit: 617.417880797211
Pair: CEPU and LOMA, Profit: 617.3835206323624
Pair: EXPD and GATX, Profit: 611.866550344659
Pair: HUBS and SHOP, Profit: 609.1337200732501
Pair: BHF and EMN, Profit: 608.9152342302555
Pair: KMT and NVT, Profit: 607.2940741153143
Pair: COHR and FORM, Profit: 602.4800780918988
Pair: KLIC and ON, Profit: 596.2818949569546
Pair: MET and SWK, Profit: 592.020398080368
Pair: HWC and MSM, Profit: 576.970840500147
Pair: CAT and STT, Profit: 568.251015644872
Pair: MRC and TS, Profit: 566.4323530952499
Pair: MCHP and TROW, Profit: 556.1466224297642
Pair: ENTG and NXPI, Profit: 555.1033080196644
Pair: NUE and ZION, Profit: 550.2097611330358
Pair: AEIS and POWI, Profit: 544.6028830302785
Pair: BWA and ON, Profit: 540.1371353516209
Pair: GATX and MATX, Profit: 528.7486378423202
Pair: LNC and NPO, Profit: 522.2721060087491
Pair: AX and BKU, Profit: 515.8159454280351
Pair: CR and SWK, Profit: 507.86389830564667
Pair: CLH and MGRC, Profit: 504.7190115549072
Pair: CAT and MTW, Profit: 501.69640569122976
Pair: CLB and MEOH, Profit: 496.62650004093484
